gene-symbol	gene-score	syndromic
RP11-1407O15.2	4	0
PTGS2	4	0
PTPRC	4	0
PTPRT	4	0
PVALB	5	0
PXDN	4	0
RAB19	6	0
RAD21	NA	1
RASD1	5	0
RASSF5	4	0
RHOXF1	4	0
RIT2	4	0
RNPS1	NA	0
RPP25	5	0
SAMD11	4	0
SASH1	4	0
SCN4A	4	0
SCN5A	NA	0
SCN7A	NA	0
SCN8A	3	0
SCN9A	2	0
SCP2	4	0
SDC2	4	0
SDK1	NA	0
SEMA5A	3	0
SETBP1	3	0
SETD1B	4	1
SETD2	3	0
SETD5	1	1
SETDB1	4	0
SETDB2	4	0
SEZ6L2	4	0
SGSH	NA	1
SGSM3	4	0
SH3KBP1	5	0
SHANK1	3	0
SHANK2	2	0
SHANK3	1	1
SHOX	3	0
SIK1	NA	1
SIN3A	4	1
SLC12A5	3	0
SLC16A3	6	0
SLC16A7	5	0
SLC1A1	4	0
SLC1A2	NA	1
SLC22A9	4	0
SLC25A24	5	0
SLC25A39	4	0
SLC27A4	4	0
SLC29A4	4	0
SLC30A5	5	0
SLC38A10	3	0
SLC45A1	NA	1
SLC4A10	4	0
SLC6A1	2	1
SLC6A3	3	0
SLC6A4	4	0
SLC22A15	4	0
SLC24A2	4	0
SLC25A12	4	0
SLC25A14	5	0
SLC25A27	4	0
SLC30A3	5	0
SLC33A1	5	0
SLC35A3	5	0
SLC35B1	3	0
SLC6A8	4	0
SLC7A3	3	0
SLC7A5	3	0
SLC7A7	4	0
SLC9A6	NA	1
SLC9A9	4	0
SLCO1B3	4	0
SLIT3	NA	0
SLITRK5	3	0
SMAD4	3	0
SMARCA2	NA	1
SMARCA4	3	0
SMARCC2	2	0
SMC1A	NA	1
SMC3	4	1
SMG6	4	0
SNAP25	4	0
SND1	4	0
SERPINE1	4	0
SLC22A3	5	0
SLC39A11	NA	0
SNRPN	5	0
SNTG2	4	0
SNX14	NA	1
SNX19	NA	0
SOD1	4	0
SOX5	NA	1
SPARCL1	3	0
SPAST	2	0
SPP2	4	0
SRCAP	2	0
SRD5A2	NA	0
SRGAP3	4	0
SRRM4	5	0
SRSF11	2	0
SSPO	4	0
SSRP1	4	0
ST7	4	0
STAG1	NA	1
STAT1	5	0
STX1A	4	0
STXBP1	3	1
STXBP5	3	0
SUCLG2	6	0
SYAP1	4	0
SYN1	4	0
SYN2	4	0
SYN3	5	0
SYNE1	4	1
SYNGAP1	1	1
SYNJ1	4	0
TAF1	NA	1
TAF1C	4	0
TAF1L	6	0
TAF6	3	0
TANC2	3	0
TAOK2	2	0
TBC1D23	NA	1
TBC1D31	3	0
TBC1D5	4	0
TBL1XR1	2	0
TBR1	1	0
TBX1	4	0
TCF20	2	0
TCF4	3	1
TCF7L2	3	0
TECTA	4	0
TERF2	3	0
TERT	5	0
TET2	3	0
TGM3	6	0
THBS1	4	0
TLK2	4	1
TM4SF19	4	0
TM4SF20	NA	1
TMLHE	3	0
TERB2	4	0
TNIP2	5	0
TNRC6B	2	0
TOP1	5	0
TOP3B	4	0
TPH2	6	0
TRAPPC6B	NA	1
TRAPPC9	3	0
TRIO	2	0
TRIP12	1	1
ST8SIA2	3	0
STK39	4	0
STYK1	4	0
SYNCRIP	4	0
SYT1	NA	1
SYT17	4	0
SYT3	6	0
TBC1D7	5	0
TBL1X	4	0
TDO2	4	0
TH	5	0
THAP8	NA	0
THRA	4	0
TMEM231	NA	0
TNN	NA	0
TOMM20	5	0
TPO	4	0
TRAF7	4	1
TRIM33	4	0
TRPC6	3	0
TRPM1	3	0
TSC1	NA	1
TSC2	3	1
TSHZ3	4	0
TSN	5	0
TSPAN17	4	0
TSPAN7	4	0
TTC25	4	0
TTI2	NA	1
TTN	4	1
TUBGCP5	4	0
TYR	5	0
UBA6	5	0
UBE2H	4	0
UBE3A	3	1
UBE3B	5	0
UBE3C	3	0
UBL7	6	0
UBN2	2	0
UBR5	3	0
UBR7	5	0
UCN3	5	0
UNC13A	4	1
UNC79	3	0
UNC80	4	0
UPB1	5	0
UPF2	5	0
UPF3B	2	1
TSPOAP1	4	0
USH2A	4	0
USP15	2	0
USP45	3	0
USP7	2	0
USP9Y	4	0
VASH1	4	0
VIL1	3	0
VLDLR	5	0
VPS13B	NA	1
VRK3	5	0
VSIG4	4	0
